official_name,short_name,platform_official_name,release_date,series_universe
Super Mario Bros,Super Mario,Nintendo Entertainment System,1987-05-15,Super Mario
Super Mario Bros 2,Super Mario 2,Nintendo Entertainment System,1989-04-28,Super Mario
Super Mario Bros 3,Super Mario 3,Nintendo Entertainment System,1991-08-29,Super Mario
Super Mario Bros.,Super Mario Bros.,Nintendo Entertainment System,1987-05-15,Super Mario
Teenage Mutant Ninja Turtles,TMNT,Nintendo Entertainment System,1989-06-25,Teenage Mutant Ninja Turtles
Tennis,Tennis,Nintendo Entertainment System,1986-09-01,Tennis
The Adventures of Dr. Franken,Dr. Franken,Nintendo Entertainment System,1992-12-01,Dr. Franken
The Legend of Zelda,The Legend of Zelda,Nintendo Entertainment System,1987-08-22,The Legend of Zelda
The Lion King,The Lion King,Nintendo Entertainment System,1995-05-25,The Lion King
Time Diver: Avenger,Time Diver,Nintendo Entertainment System,1994-01-01,Time Diver
Urban Champion,Urban Champion,Nintendo Entertainment System,1986-08-01,Urban Champion
Virus,Virus,Nintendo Entertainment System,1990-01-01,Virus
Volleyball,Volleyball,Nintendo Entertainment System,1987-11-15,Volleyball
Wild Gunman,Wild Gunman,Nintendo Entertainment System,1988-02-15,Wild Gunman
Wrecking Crew,Wrecking Crew,Nintendo Entertainment System,1985-10-18,Wrecking Crew
90 Minutes: European Prime Goal,90 Minutes,Super Nintendo Entertainment System,1995-08-04,90 Minutes
Alien 3,Alien 3,Super Nintendo Entertainment System,1993-01-01,Alien
Arcade's Greatest Hits Atari Collection 1,Atari Collection 1,Super Nintendo Entertainment System,1997-08-30,Atari Collection
Arkanoid: Doh It Again,Arkanoid,Super Nintendo Entertainment System,1997-01-01,Arkanoid
Asterix,Asterix,Super Nintendo Entertainment System,1993-01-01,Asterix
Asterix & Obelix,Asterix & Obelix,Super Nintendo Entertainment System,1995-09-28,Asterix
Battle Clash,Battle Clash,Super Nintendo Entertainment System,1992-10-01,Battle Clash
Battletoads & Double Dragon,Battletoads & Double Dragon,Super Nintendo Entertainment System,1993-12-01,Battletoads & Double Dragon
Bishoujo Senshi Sailor Moon,Bishoujo Senshi Sailor Moon,Super Nintendo Entertainment System,1993-08-27,Bishoujo Senshi Sailor Moon
Bubsy in: Claws Encounters of the Furred Kind,Bubsy,Super Nintendo Entertainment System,1993-05-01,Bubsy
Bugs Bunny Rabbit Rampage,Bugs Bunny,Super Nintendo Entertainment System,1994-02-15,Bugs Bunny
Castlevania Vampire's Kiss,Castlevania,Super Nintendo Entertainment System,1996-02-22,Castlevania
Champions World Class Soccer,World Class Soccer,Super Nintendo Entertainment System,1994-11-04,Champions World Class Soccer
Choplifter III,Choplifter III,Super Nintendo Entertainment System,1994-01-01,Choplifter
Cliffhanger,Cliffhanger,Super Nintendo Entertainment System,1993-12-10,Cliffhanger
Clock Tower,Clock Tower,Super Nintendo Entertainment System,1995-07-14,Clock Tower
Dennis,Dennis,Super Nintendo Entertainment System,1993-12-01,Dennis
Desert Strike: Return to the Gulf,Desert Strike,Super Nintendo Entertainment System,1992-10-01,Desert Strike
Disney's Aladdin,Aladdin,Super Nintendo Entertainment System,1993-11-21,Disneyladdin
Disney's Goof Troop,Goof Troop,Super Nintendo Entertainment System,1993-11-25,Disney
Disney's The Jungle Book,The Jungle Book,Super Nintendo Entertainment System,1994-07-15,Disney
Disney's Toy Story,Toy Story,Super Nintendo Entertainment System,1996-06-01,Disney
Donald in Maui Mallard,Donald,Super Nintendo Entertainment System,1996-11-28,Donald
Donkey Kong Country,Donkey Kong Country,Super Nintendo Entertainment System,1994-11-21,Donkey Kong
Dragon's Lair,Dragon's Lair,Super Nintendo Entertainment System,1993-01-01,Dragon's Lair
Equinox,Equinox,Super Nintendo Entertainment System,1994-03-11,Equinox
Exhaust Heat,Exhaust Heat,Super Nintendo Entertainment System,1992-02-21,Exhaust Heat
F-Zero,F-Zero,Super Nintendo Entertainment System,1992-06-04,F-Zero
FIFA 97,FIFA 97,Super Nintendo Entertainment System,1996-09-06,FIFA
FIFA International Soccer,FIFA International Soccer,Super Nintendo Entertainment System,1994-05-01,FIFA International Soccer
FIFA Soccer 96,FIFA 96,Super Nintendo Entertainment System,1995-06-01,FIFA
FIFA: Road to World Cup 98,World Cup 98,Super Nintendo Entertainment System,1997-01-01,FIFA
GP-1,GP-1,Super Nintendo Entertainment System,1993-10-29,GP-1
Illusion of Time,Illusion of Time,Super Nintendo Entertainment System,1993-11-27,Illusion of Time
International Superstar Soccer,ISS,Super Nintendo Entertainment System,1995-06-01,International Superstar Soccer
International Tennis Tour,International Tennis Tour,Super Nintendo Entertainment System,1993-11-01,International Tennis Tour
Jungle Strike: The Sequel To Desert Strike,Jungle Strike,Super Nintendo Entertainment System,1993-01-01,Jungle Strike
Kick Off,Kick Off,Super Nintendo Entertainment System,1992-12-25,Kick Off
Killer Instinct,Killer Instinct,Super Nintendo Entertainment System,1995-08-30,Killer Instinct
Kirby's Dream Course,Kirby's Dream Course,Super Nintendo Entertainment System,1995-02-28,Kirby
Krusty's Super Fun House,Krusty's Super Fun House,Super Nintendo Entertainment System,1992-06-01,Krusty's Super Fun House
Le Roi Lion,Le Roi Lion,Super Nintendo Entertainment System,1994-12-08,Le Roi Lion
Legend,Legend,Super Nintendo Entertainment System,1994-12-21,Legend
Les Schtroumpfs Autour du Monde,Les Schtroumpfs Autour du Monde,Super Nintendo Entertainment System,1996-10-01,Les Schtroumpfs Autour du Monde
Looney Tunes: Road Runner,Looney Tunes,Super Nintendo Entertainment System,1993-09-30,Looney Tunes
Lothar Matthaus Super Soccer,Lothar Matthaus Super Soccer,Super Nintendo Entertainment System,1995-01-01,Lothar Matthaus Super Soccer
Lucky Luke,Lucky Luke,Super Nintendo Entertainment System,1997-10-27,Lucky Luke
Lufia,Lufia,Super Nintendo Entertainment System,1996-08-31,Lufia
Magic Boy,Magic Boy,Super Nintendo Entertainment System,1996-01-08,Magic Boy
Mario Paint,Mario Paint,Super Nintendo Entertainment System,1992-12-10,Super Mario
Mickey Mania,Mickey Mania,Super Nintendo Entertainment System,1994-10-28,Mickey
Micro Machines,Micro Machines,Super Nintendo Entertainment System,1994-12-01,Micro Machines
Micro Machines 2: Turbo Tournament,Micro Machines 2,Super Nintendo Entertainment System,1996-02-22,Micro Machines
Mortal Kombat,Mortal Kombat,Super Nintendo Entertainment System,1993-09-13,Mortal Kombat
Mortal Kombat II,Mortal Kombat II,Super Nintendo Entertainment System,1994-09-09,Mortal Kombat
Mr. Nutz,Mr. Nutz,Super Nintendo Entertainment System,1994-08-01,Mr. Nutz
Mystic Quest Legend,Mystic Quest,Super Nintendo Entertainment System,1994-04-01,Mystic Quest
NBA Jam,NBA Jam,Super Nintendo Entertainment System,1994-04-01,NBA Jam
NCAA Basketball,NCAA Basketball,Super Nintendo Entertainment System,1993-07-22,NCAA Basketball
Nigel Mansell's World Championship Racing,Nigel Mansell's World Championship Racing,Super Nintendo Entertainment System,1993-12-16,Nigel Mansell's World Championship Racing
Nintendo Scope 6,Nintendo Scope,Super Nintendo Entertainment System,1992-02-01,Nintendo Scope
Out to Lunch,Out to Lunch,Super Nintendo Entertainment System,1993-11-01,Out to Lunch
Phalanx,Phalanx,Super Nintendo Entertainment System,1992-10-01,Phalanx
Pilotwings,Pilotwings,Super Nintendo Entertainment System,1991-08-23,Pilotwings
Pinocchio,Pinocchio,Super Nintendo Entertainment System,1996-11-01,Pinocchio
Populous II: Trials of the Olympian Gods,Trials of the Olympian Gods,Super Nintendo Entertainment System,1993-01-22,Populou
Powermonger,Powermonger,Super Nintendo Entertainment System,1993-01-01,Powermonger
Prince of Persia 2: The Shadow and the Flame,Prince of Persia 2,Super Nintendo Entertainment System,1996-01-01,Prince of Persia
R-Type III,R-Type III,Super Nintendo Entertainment System,1994-11-22,R-Type
Race Drivin',Race Drivin',Super Nintendo Entertainment System,1992-10-01,Race Drivin'
Radical Rex,Radical Rex,Super Nintendo Entertainment System,1994-09-01,Radical Rex
Realm,Realm,Super Nintendo Entertainment System,1996-02-27,Realm
Revolution X,Revolution X,Super Nintendo Entertainment System,1995-06-17,Revolution X
Rise of the Robots,Rise of the Robots,Super Nintendo Entertainment System,1995-06-16,Rise of the Robots
Road Riot 4WD,Road Riot 4WD,Super Nintendo Entertainment System,1992-11-01,Road Riot 4WD
RoboCop 3,RoboCop 3,Super Nintendo Entertainment System,1992-09-01,RoboCop
RoboCop Versus The Terminator,RoboCop Versus The Terminator,Super Nintendo Entertainment System,1993-08-24,RoboCop
Rock n' Roll Racing,Rock n' Roll Racing,Super Nintendo Entertainment System,1994-03-31,Rock n' Roll Racing
Run Saber,Run Saber,Super Nintendo Entertainment System,1993-06-08,Run Saber
Samurai Shodown,Samurai Shodown,Super Nintendo Entertainment System,1994-09-14,Samurai Shodown
Saturday Night Slam Masters,Saturday Night Slam Masters,Super Nintendo Entertainment System,1994-09-01,Saturday Night Slam Masters
SeaQuest DSV,SeaQuest DSV,Super Nintendo Entertainment System,1995-07-27,SeaQuest DSV
Secret of Evermore,Secret of Evermore,Super Nintendo Entertainment System,1995-02-22,Secret of Evermore
Secret of Mana,Secret of Mana,Super Nintendo Entertainment System,1994-11-24,Mana
Shadowrun,Shadowrun,Super Nintendo Entertainment System,1994-07-28,Shadowrun
Shanghai II: Dragon's Eye,Dragon's Eye,Super Nintendo Entertainment System,1993-01-01,Shanghai
Shaq-Fu,Shaq-Fu,Super Nintendo Entertainment System,1994-01-01,Shaq-Fu
Side Pocket,Side Pocket,Super Nintendo Entertainment System,1994-03-01,Side Pocket
SimCity,SimCity,Super Nintendo Entertainment System,1991-08-13,SimCity
SimCity 2000,SimCity 2000,Super Nintendo Entertainment System,1996-11-01,SimCity
Sink or Swim,Sink or Swim,Super Nintendo Entertainment System,1994-12-31,Sink or Swim
Skyblazer,Skyblazer,Super Nintendo Entertainment System,1994-03-25,Skyblazer
Soul Blazer,Soul Blazer,Super Nintendo Entertainment System,1994-01-27,Soul Blazer
Space Ace,Space Ace,Super Nintendo Entertainment System,1994-01-01,Space Ace
Spanky's Quest,Spanky's Quest,Super Nintendo Entertainment System,1992-01-01,Spanky's Quest
Sparkster,Sparkster,Super Nintendo Entertainment System,1994-01-01,Sparkster
Spectre,Spectre,Super Nintendo Entertainment System,1994-07-01,Spectre
Spider-Man & Venom: Maximum Carnage,Spider-Man & Venom: Maximum Carnage,Super Nintendo Entertainment System,1994-11-24,Spider-Man
Spider-Man & X-Men: Arcade's Revenge,Spider-Man & X-Men: Arcade's Revenge,Super Nintendo Entertainment System,1994-08-19,Spider-Man
Spindizzy Worlds,Spindizzy Worlds,Super Nintendo Entertainment System,1992-01-01,Spindizzy Worlds
Star Trek: Deep Space Nine – Crossroads of Time,Star Trek: Deep Space Nine,Super Nintendo Entertainment System,1995-01-01,Star Trek
Star Trek: Starfleet Academy - Starship Bridge Simulator,Star Trek: Starfleet Academy,Super Nintendo Entertainment System,1994-01-01,Star Trek
Stargate,Stargate,Super Nintendo Entertainment System,1995-06-29,Stargate
Street Fighter II,Street Fighter II,Super Nintendo Entertainment System,1992-12-01,Street Fighter II
Street Fighter II Turbo,Street Fighter II Turbo,Super Nintendo Entertainment System,1993-10-01,Street Fighter
Street Racer,Street Racer,Super Nintendo Entertainment System,1995-06-16,Street Racer
Stunt Race FX,Stunt Race FX,Super Nintendo Entertainment System,1994-10-10,Stunt Race FX
Sunset Riders,Sunset Riders,Super Nintendo Entertainment System,1993-10-01,Sunset Riders
Super Adventure Island,Super Adventure Island,Super Nintendo Entertainment System,1992-11-19,Super Adventure Island
Super Battletank 2,Super Battletank 2,Super Nintendo Entertainment System,1994-08-08,Super Battletank 2
Super Castlevania IV,Super Castlevania IV,Super Nintendo Entertainment System,1991-12-04,Super Castlevania IV
Super Double Dragon,Super Double Dragon,Super Nintendo Entertainment System,1992-10-01,Super Double Dragon
Super Full Metal,Super Full Metal,Super Nintendo Entertainment System,1992-12-01,Super Full Metal
Super Ice Hockey,Super Ice Hockey,Super Nintendo Entertainment System,1994-03-25,Super Ice Hockey
Super Mario All-Stars,Super Mario All-Stars,Super Nintendo Entertainment System,1993-12-16,Super Mario
Super Mario Kart,Super Mario Kart,Super Nintendo Entertainment System,1992-09-01,Mario Kart
Super Mario World,Super Mario World,Super Nintendo Entertainment System,1991-08-13,Super Mario
Super Mario World 2: Yoshi's Island,Yoshi's Island,Super Nintendo Entertainment System,1995-10-04,Super Mario
Super Metroid,Super Metroid,Super Nintendo Entertainment System,1994-04-18,Super Metroid
Super Pinball: Behind the Mask,Super Pinball,Super Nintendo Entertainment System,1994-08-08,Super Pinball
Super Probotector: Alien Rebels,Super Probotector,Super Nintendo Entertainment System,1992-09-12,Super Probotector
Super R-Type,Super R-Type,Super Nintendo Entertainment System,1991-01-01,R-Type
Super Soccer,Super Soccer,Super Nintendo Entertainment System,1992-05-01,Super Soccer
Super Star Wars,Super Star Wars,Super Nintendo Entertainment System,1992-11-01,Super Star Wars
Super Street Fighter II: The New Challengers,Super Street Fighter II,Super Nintendo Entertainment System,1994-08-01,Super Street Fighter II
Super Strike Gunner,Super Strike Gunner,Super Nintendo Entertainment System,1992-11-01,Super Strike Gunner
Super Tennis,Super Tennis,Super Nintendo Entertainment System,1992-06-04,Super Tennis
T2: The Arcade Game,T2: The Arcade Game,Super Nintendo Entertainment System,1994-01-01,T2: The Arcade Game
Teenage Mutant Hero Turtles: Tournament Fighters,Teenage Mutant Hero Turtles,Super Nintendo Entertainment System,1993-12-01,Teenage Mutant Hero Turtles
